img_path,model_id,is_test,car_type,door_count,seat_count,max_speed,displacement
data/raw/compcars/image/75/004874.jpg,75,0,coupe,4,2,221,2.0
data/raw/compcars/image/21/002920.jpg,21,0,coupe,2,2,217,3.0
data/raw/compcars/image/100/005599.jpg,100,0,hatchback,2,5,263,4.0
data/raw/compcars/image/65/004764.jpg,65,0,hatchback,2,5,295,2.0
data/raw/compcars/image/71/005070.jpg,71,1,sedan,2,5,166,2.0
data/raw/compcars/image/6/005505.jpg,6,0,suv,4,5,288,3.0
data/raw/compcars/image/85/004084.jpg,85,0,mpv,5,5,255,4.0
data/raw/compcars/image/84/004083.jpg,84,0,mpv,5,7,154,4.0
data/raw/compcars/image/33/002332.jpg,33,0,suv,5,5,142,3.0
data/raw/compcars/image/90/003089.jpg,90,1,sedan,2,5,189,1.5
data/raw/compcars/image/13/002212.jpg,13,1,mpv,4,7,150,2.5
data/raw/compcars/image/24/004223.jpg,24,0,sedan,2,5,227,2.5
data/raw/compcars/image/64/004963.jpg,64,1,coupe,2,2,199,2.0
data/raw/compcars/image/23/002422.jpg,23,0,sedan,2,5,211,2.5
data/raw/compcars/image/63/003162.jpg,63,1,mpv,5,7,266,1.5
data/raw/compcars/image/54/001453.jpg,54,0,coupe,4,2,189,3.0
data/raw/compcars/image/8/003207.jpg,8,0,hatchback,5,5,244,2.5
data/raw/compcars/image/89/005688.jpg,89,0,sedan,4,5,176,3.0
data/raw/compcars/image/30/002029.jpg,30,0,sedan,5,5,126,2.0
data/raw/compcars/image/51/004550.jpg,51,0,mpv,4,7,126,2.0
data/raw/compcars/image/73/003072.jpg,73,0,hatchback,5,5,248,1.5
data/raw/compcars/image/36/002735.jpg,36,0,sedan,5,5,242,4.0
data/raw/compcars/image/52/003251.jpg,52,0,suv,5,7,288,2.5
data/raw/compcars/image/9/005108.jpg,9,0,suv,5,7,155,2.5
data/raw/compcars/image/30/002329.jpg,30,0,sedan,5,5,126,2.0
data/raw/compcars/image/37/004036.jpg,37,0,hatchback,5,5,169,3.0
data/raw/compcars/image/95/001494.jpg,95,0,suv,2,7,288,4.0
data/raw/compcars/image/2/002601.jpg,2,0,coupe,2,5,200,1.5
data/raw/compcars/image/97/004996.jpg,97,0,sedan,2,5,207,3.0
data/raw/compcars/image/95/001594.jpg,95,0,suv,2,7,288,4.0
data/raw/compcars/image/65/002864.jpg,65,0,hatchback,2,5,295,2.0
data/raw/compcars/image/66/001565.jpg,66,0,suv,5,5,254,2.5
data/raw/compcars/image/14/001313.jpg,14,0,suv,4,7,265,2.0
data/raw/compcars/image/67/005166.jpg,67,0,mpv,5,7,137,1.5
data/raw/compcars/image/58/001757.jpg,58,0,hatchback,4,5,162,1.5
data/raw/compcars/image/8/001307.jpg,8,0,hatchback,5,5,244,2.5
data/raw/compcars/image/20/004219.jpg,20,0,sedan,4,5,206,2.0
data/raw/compcars/image/83/001282.jpg,83,0,hatchback,5,5,157,2.0
data/raw/compcars/image/84/003483.jpg,84,0,mpv,5,7,154,4.0
data/raw/compcars/image/7/003206.jpg,7,0,suv,4,5,138,2.5
data/raw/compcars/image/39/005638.jpg,39,0,suv,5,7,196,2.0
data/raw/compcars/image/40/003739.jpg,40,1,coupe,2,5,239,3.0
data/raw/compcars/image/48/002547.jpg,48,0,suv,4,2,131,1.5
data/raw/compcars/image/58/003857.jpg,58,0,hatchback,4,5,162,1.5
data/raw/compcars/image/10/004209.jpg,10,1,coupe,2,2,243,1.5
data/raw/compcars/image/73/004372.jpg,73,0,hatchback,5,5,248,1.5
data/raw/compcars/image/54/005953.jpg,54,1,coupe,4,2,189,3.0
data/raw/compcars/image/41/005840.jpg,41,0,mpv,4,7,214,4.0
data/raw/compcars/image/62/004661.jpg,62,0,coupe,2,2,271,4.0
data/raw/compcars/image/93/003692.jpg,93,0,coupe,2,2,223,2.5
data/raw/compcars/image/57/003256.jpg,57,1,sedan,4,5,236,3.0
data/raw/compcars/image/32/005031.jpg,32,0,suv,4,2,144,1.5
data/raw/compcars/image/32/003031.jpg,32,0,suv,4,2,144,1.5
data/raw/compcars/image/6/004705.jpg,6,0,suv,4,5,288,3.0
data/raw/compcars/image/70/002069.jpg,70,0,suv,4,5,141,4.0
data/raw/compcars/image/67/001766.jpg,67,0,mpv,5,7,137,1.5
data/raw/compcars/image/28/004427.jpg,28,0,suv,4,7,297,4.0
data/raw/compcars/image/41/002840.jpg,41,1,mpv,4,7,214,4.0
data/raw/compcars/image/60/004759.jpg,60,0,sedan,4,7,199,2.0
data/raw/compcars/image/96/004195.jpg,96,1,hatchback,5,5,145,1.5
data/raw/compcars/image/99/005998.jpg,99,0,coupe,2,2,158,2.5
data/raw/compcars/image/40/001439.jpg,40,0,coupe,2,5,239,3.0
data/raw/compcars/image/71/004970.jpg,71,0,sedan,2,5,166,2.0
data/raw/compcars/image/54/003153.jpg,54,0,coupe,4,2,189,3.0
data/raw/compcars/image/25/004624.jpg,25,1,suv,5,5,248,2.0
data/raw/compcars/image/33/004032.jpg,33,1,suv,5,5,142,3.0
data/raw/compcars/image/42/003041.jpg,42,0,hatchback,4,5,234,3.0
data/raw/compcars/image/31/001330.jpg,31,0,hatchback,5,5,134,3.0
data/raw/compcars/image/2/002201.jpg,2,0,coupe,2,5,200,1.5
data/raw/compcars/image/76/004575.jpg,76,1,mpv,5,7,207,2.5
data/raw/compcars/image/24/004323.jpg,24,0,sedan,2,5,227,2.5
data/raw/compcars/image/48/001447.jpg,48,0,suv,4,2,131,1.5
data/raw/compcars/image/86/003685.jpg,86,0,sedan,4,5,273,1.5
data/raw/compcars/image/50/002749.jpg,50,1,coupe,2,2,252,4.0
data/raw/compcars/image/81/003880.jpg,81,1,mpv,5,7,297,1.5
data/raw/compcars/image/81/001580.jpg,81,0,mpv,5,7,297,1.5
data/raw/compcars/image/55/002854.jpg,55,0,mpv,5,7,220,2.0
data/raw/compcars/image/5/004804.jpg,5,0,mpv,4,7,122,2.5
data/raw/compcars/image/70/005569.jpg,70,0,suv,4,5,141,4.0
data/raw/compcars/image/2/002701.jpg,2,1,coupe,2,5,200,1.5
data/raw/compcars/image/38/005237.jpg,38,0,coupe,2,2,297,2.0
data/raw/compcars/image/26/003125.jpg,26,0,coupe,2,5,121,1.5
data/raw/compcars/image/2/001901.jpg,2,0,coupe,2,5,200,1.5
data/raw/compcars/image/44/005743.jpg,44,1,suv,5,5,270,2.0
data/raw/compcars/image/7/004806.jpg,7,0,suv,4,5,138,2.5
data/raw/compcars/image/82/003181.jpg,82,1,suv,5,5,222,1.5
data/raw/compcars/image/40/002539.jpg,40,0,coupe,2,5,239,3.0
data/raw/compcars/image/96/002695.jpg,96,0,hatchback,5,5,145,1.5
data/raw/compcars/image/37/001536.jpg,37,0,hatchback,5,5,169,3.0
data/raw/compcars/image/10/005209.jpg,10,0,coupe,2,2,243,1.5
data/raw/compcars/image/87/003586.jpg,87,0,hatchback,5,5,209,2.5
data/raw/compcars/image/13/004512.jpg,13,0,mpv,4,7,150,2.5
data/raw/compcars/image/10/001409.jpg,10,0,coupe,2,2,243,1.5
data/raw/compcars/image/35/005834.jpg,35,0,sedan,4,5,246,2.5
data/raw/compcars/image/89/003788.jpg,89,0,sedan,4,5,176,3.0
data/raw/compcars/image/86/004885.jpg,86,0,sedan,4,5,273,1.5
data/raw/compcars/image/30/005629.jpg,30,0,sedan,5,5,126,2.0
data/raw/compcars/image/26/001725.jpg,26,0,coupe,2,5,121,1.5
data/raw/compcars/image/52/002151.jpg,52,0,suv,5,7,288,2.5
data/raw/compcars/image/11/004210.jpg,11,0,mpv,5,7,260,2.5
data/raw/compcars/image/74/003273.jpg,74,0,hatchback,4,5,245,1.5
data/raw/compcars/image/16/001915.jpg,16,0,suv,4,5,256,3.0
data/raw/compcars/image/29/004528.jpg,29,0,coupe,2,2,264,2.0
data/raw/compcars/image/10/003909.jpg,10,1,coupe,2,2,243,1.5
data/raw/compcars/image/83/001482.jpg,83,0,hatchback,5,5,157,2.0
data/raw/compcars/image/30/004529.jpg,30,0,sedan,5,5,126,2.0
data/raw/compcars/image/83/001382.jpg,83,0,hatchback,5,5,157,2.0
data/raw/compcars/image/88/003787.jpg,88,0,sedan,4,5,244,2.5
data/raw/compcars/image/79/001278.jpg,79,0,suv,5,5,140,2.0
data/raw/compcars/image/100/005299.jpg,100,0,hatchback,2,5,263,4.0
data/raw/compcars/image/89/002488.jpg,89,0,sedan,4,5,176,3.0
data/raw/compcars/image/46/003145.jpg,46,0,sedan,5,5,209,3.0
data/raw/compcars/image/19/003718.jpg,19,0,hatchback,5,5,151,2.0
data/raw/compcars/image/100/005799.jpg,100,1,hatchback,2,5,263,4.0
data/raw/compcars/image/90/002689.jpg,90,0,sedan,2,5,189,1.5
data/raw/compcars/image/91/005490.jpg,91,0,mpv,4,5,174,1.5
data/raw/compcars/image/30/005229.jpg,30,0,sedan,5,5,126,2.0
data/raw/compcars/image/21/003720.jpg,21,0,coupe,2,2,217,3.0
data/raw/compcars/image/38/003437.jpg,38,0,coupe,2,2,297,2.0
data/raw/compcars/image/85/002684.jpg,85,1,mpv,5,5,255,4.0
data/raw/compcars/image/22/002821.jpg,22,0,hatchback,2,5,239,1.5
data/raw/compcars/image/59/004858.jpg,59,0,suv,5,7,126,1.5
data/raw/compcars/image/16/001415.jpg,16,0,suv,4,5,256,3.0
data/raw/compcars/image/75/001274.jpg,75,0,coupe,4,2,221,2.0
data/raw/compcars/image/53/002752.jpg,53,0,mpv,5,7,213,2.5
data/raw/compcars/image/86/005785.jpg,86,0,sedan,4,5,273,1.5
data/raw/compcars/image/35/002434.jpg,35,0,sedan,4,5,246,2.5
data/raw/compcars/image/89/003488.jpg,89,0,sedan,4,5,176,3.0
data/raw/compcars/image/66/004665.jpg,66,0,suv,5,5,254,2.5
data/raw/compcars/image/93/002292.jpg,93,0,coupe,2,2,223,2.5
data/raw/compcars/image/23/002022.jpg,23,0,sedan,2,5,211,2.5
data/raw/compcars/image/57/004056.jpg,57,0,sedan,4,5,236,3.0
data/raw/compcars/image/42/001941.jpg,42,1,hatchback,4,5,234,3.0
data/raw/compcars/image/49/005848.jpg,49,1,hatchback,4,5,172,2.5
data/raw/compcars/image/48/001947.jpg,48,0,suv,4,2,131,1.5
data/raw/compcars/image/72/004271.jpg,72,0,coupe,2,2,201,2.5
data/raw/compcars/image/16/003415.jpg,16,0,suv,4,5,256,3.0
data/raw/compcars/image/63/004362.jpg,63,0,mpv,5,7,266,1.5
data/raw/compcars/image/65/005864.jpg,65,0,hatchback,2,5,295,2.0
data/raw/compcars/image/43/002042.jpg,43,0,sedan,5,5,245,2.5
data/raw/compcars/image/29/002628.jpg,29,0,coupe,2,2,264,2.0
data/raw/compcars/image/94/002093.jpg,94,0,hatchback,2,5,138,1.5
